striker,team,type
A Balbirnie,Ireland,Batter
A Ndlovu,Zimbabwe,Bowler
A Nortje,South Africa,Bowler
A Zampa,Australia,Bowler
Aamer Jamal,Pakistan,Allrounder
AC Agar,Australia,Bowler
AD Hales,England,Batter
AD Russell,West Indies,Allrounder
AF Milne,New Zealand,Bowler
Afif Hossain,Bangladesh,Allrounder
Afsar Zazai,Afghanistan,WK Batter
AJ Finch,Australia,Batter
AJ Hosein,West Indies,Bowler
AK Markram,South Africa,Batter
AL Phehlukwayo,South Africa,Bowler
AM Fernando,Sri Lanka,Bowler
Aminul Islam Biplob,Bangladesh,Allrounder
Anamul Haque,Bangladesh,WK Batter
AR McBrine,Ireland,Bowler
AR Patel,India,Allrounder
Arshdeep Singh,India,Bowler
AS Joseph,West Indies,Bowler
Asghar Stanikzai,Afghanistan,Batter
Asif Ali,Pakistan,Batter
AU Rashid,England,Bowler
Avesh Khan,India,Bowler
Azmatullah Omarzai,Afghanistan,Bowler
B Evans,Zimbabwe,Bowler
B Fernando,Sri Lanka,Bowler
B Kumar,India,Bowler
BA King,West Indies,Batter
Babar Azam,Pakistan,Batter
BJ Dwarshuis,Australia,Bowler
BJ McCarthy,Ireland,Bowler
BKG Mendis,Sri Lanka,WK Batter
BM Duckett,England,Batter
BR McDermott,Australia,WK Batter
C Campher,Ireland,Allrounder
C Green,Australia,Allrounder
C Karunaratne,Sri Lanka,Allrounder
C Madande,Zimbabwe,WK Batter
CA Young,Ireland,Bowler
CBRLS Kumara,Sri Lanka,Bowler
CH Gayle,West Indies,Allrounder
CJ Jordan,England,Bowler
CR Ervine,Zimbabwe,Batter
CR Woakes,England,Allrounder
D Cleaver,New Zealand,WK Batter
D Madushanka,Sri Lanka,Bowler
D Pretorius,South Africa,Bowler
DA Miller,South Africa,Batter
DA Warner,Australia,Batter
Darwish Rasooli,Afghanistan,Batter
DC Drakes,West Indies,Bowler
DC Thomas,West Indies,Batter
DJ Bravo,West Indies,Allrounder
DJ Hooda,India,Allrounder
DJ Malan,England,Batter
DJ Mitchell,New Zealand,Allrounder
DJ Willey,England,Allrounder
DL Chahar,India,Bowler
DM Bravo,West Indies,Batter
DM de Silva,Sri Lanka,Allrounder
DP Conway,New Zealand,WK Batter
DR Sams,Australia,Allrounder
DT Tiripano,Zimbabwe,Bowler
E Lewis,West Indies,Batter
EJG Morgan,England,Batter
F Hand,Ireland,Allrounder
FA Allen,West Indies,Allrounder
Fakhar Zaman,Pakistan,Batter
Fareed Ahmad,Afghanistan,Bowler
FH Allen,New Zealand,Batter
GD Phillips,New Zealand,Batter
GH Dockrell,Ireland,Allrounder
GHS Garton,England,Allrounder
GI Hume,Ireland,Bowler
GJ Delany,Ireland,Allrounder
GJ Maxwell,Australia,Allrounder
Gulbadin Naib,Afghanistan,Allrounder
H Klaasen,South Africa,WK Batter
Haider Ali,Pakistan,Batter
Haris Rauf,Pakistan,Bowler
Hasan Ali,Pakistan,Bowler
Hasan Mahmud,Bangladesh,Bowler
Hashmatullah Shahidi,Afghanistan,Batter
Hazratullah,Afghanistan,Batter
HC Brook,England,Batter
HE van der Dussen,South Africa,Batter
HH Pandya,India,Allrounder
HR Walsh,West Indies,Bowler
HT Tector,Ireland,Batter
HV Patel,India,Bowler
I Kaia,Zimbabwe,Batter
Ibrahim Zadran,Afghanistan,Batter
Iftikhar Ahmed,Pakistan,Allrounder
Ihsanullah,Afghanistan,Batter
Imad Wasim,Pakistan,Allrounder
IS Sodhi,New Zealand,Bowler
Ishan Kishan,India,WK Batter
J Charles,West Indies,WK Batter
J Little,Ireland,Bowler
J Liyanage,Sri Lanka,Batter
JA Richardson,Australia,Bowler
JC Buttler,England,WK Batter
JDF Vandersay,Sri Lanka,Bowler
JDS Neesham,New Zealand,Allrounder
JJ Roy,England,Batter
JM Bairstow,England,WK Batter
JM Vince,England,Batter
JO Holder,West Indies,Allrounder
JP Inglis,Australia,WK Batter
JR Hazlewood,Australia,Bowler
K Mishara,Sri Lanka,Batter
K Rabada,South Africa,Bowler
KA Maharaj,South Africa,Bowler
KA Pollard,West Indies,Allrounder
Karim Janat,Afghanistan,Bowler
KD Karthik,India,WK Batter
Khushdil Shah,Pakistan,Allrounder
KIC Asalanka,Sri Lanka,Batter
KJ O'Brien,Ireland,Allrounder
KL Rahul,India,Batter
KMA Paul,West Indies,Allrounder
KR Mayers,West Indies,Allrounder
KS Williamson,New Zealand,Batter
L Ngidi,South Africa,Bowler
L Tucker,Ireland,WK Batter
LA Dawson,England,Allrounder
LD Chandimal,Sri Lanka,WK Batter
LH Ferguson,New Zealand,Bowler
Liton Das,Bangladesh,WK Batter
LM Jongwe,Zimbabwe,Bowler
LMP Simmons,West Indies,Batter
LS Livingstone,England,Allrounder
M Jansen,South Africa,Bowler
