bowler,team,type
A Ndlovu,Zimbabwe,Spin
A Nortje,South Africa,Pace
A Zampa,Australia,Spin
Aamer Jamal,Pakistan,Pace
AC Agar,Australia,Spin
AD Russell,West Indies,Pace
AF Milne,New Zealand,Pace
Afif Hossain,Bangladesh,Spin
AJ Hosein,West Indies,Spin
AK Markram,South Africa,Spin
AL Phehlukwayo,South Africa,Pace
AM Fernando,Sri Lanka,Pace
Aminul Islam Biplob,Bangladesh,Spin
AR McBrine,Ireland,Spin
AR Patel,India,Spin
Arshdeep Singh,India,Pace
AS Joseph,West Indies,Pace
AU Rashid,England,Spin
Avesh Khan,India,Pace
Azmatullah Omarzai,Afghanistan,Pace
B Evans,Zimbabwe,Pace
B Fernando,Sri Lanka,Pace
B Kumar,India,Pace
B Muzarabani,Zimbabwe,Pace
BJ Dwarshuis,Australia,Pace
BJ McCarthy,Ireland,Pace
BM Tickner,New Zealand,Pace
C Campher,Ireland,Pace
C Green,Australia,Pace
C Karunaratne,Sri Lanka,Pace
C Olphert,Ireland,Pace
CA Young,Ireland,Pace
CBRLS Kumara,Sri Lanka,Pace
CH Gayle,West Indies,Spin
CJ Jordan,England,Pace
CR Woakes,England,Pace
CV Varun,India,Spin
D Madushanka,Sri Lanka,Pace
D Pretorius,South Africa,Pace
DC Drakes,West Indies,Pace
DJ Bravo,West Indies,Pace
DJ Hooda,India,Spin
DJ Mitchell,New Zealand,Pace
DJ Willey,England,Pace
DL Chahar,India,Pace
DM de Silva,Sri Lanka,Spin
DR Sams,Australia,Pace
DT Tiripano,Zimbabwe,Pace
Ebadat Hossain,Bangladesh,Pace
F Hand,Ireland,Pace
FA Allen,West Indies,Spin
Fareed Ahmad,Afghanistan,Pace
Fazalhaq Farooqi,Afghanistan,Pace
G Motie,West Indies,Spin
GD Phillips,New Zealand,Spin
GH Dockrell,Ireland,Spin
GHS Garton,England,Pace
GI Hume,Ireland,Pace
GJ Delany,Ireland,Spin
GJ Maxwell,Australia,Spin
Gulbadin Naib,Afghanistan,Pace
Hamid Hassan,Afghanistan,Pace
Haris Rauf,Pakistan,Pace
Hasan Ali,Pakistan,Pace
Hasan Mahmud,Bangladesh,Pace
HH Pandya,India,Pace
HR Walsh,West Indies,Spin
HV Patel,India,Pace
Iftikhar Ahmed,Pakistan,Spin
Imad Wasim,Pakistan,Spin
IS Sodhi,New Zealand,Spin
J Little,Ireland,Pace
JA Duffy,New Zealand,Pace
JA Richardson,Australia,Pace
JDF Vandersay,Sri Lanka,Spin
JDS Neesham,New Zealand,Pace
JJ Bumrah,India,Pace
JK Masara,Zimbabwe,Spin
JO Holder,West Indies,Pace
JR Hazlewood,Australia,Pace
K Rabada,South Africa,Pace
KA Maharaj,South Africa,Spin
KA Pollard,West Indies,Pace
Karim Janat,Afghanistan,Pace
KD Karthik,India,Spin
Khushdil Shah,Pakistan,Spin
KIC Asalanka,Sri Lanka,Spin
KMA Paul,West Indies,Pace
KR Mayers,West Indies,Pace
Kuldeep Yadav,India,Spin
KW Richardson,Australia,Pace
L Ngidi,South Africa,Pace
L Wood,England,Pace
LA Dawson,England,Spin
LH Ferguson,New Zealand,Pace
LM Jongwe,Zimbabwe,Pace
LS Livingstone,England,Spin
M Jansen,South Africa,Pace
M Pathirana,Sri Lanka,Pace
M Theekshana,Sri Lanka,Spin
MA Starc,Australia,Pace
MA Wood,England,Pace
Mahedi Hasan,Bangladesh,Spin
Mahmudullah,Bangladesh,Spin
MD Gunathilaka,Sri Lanka,Spin
MD Shanaka,Sri Lanka,Pace
Mehedi Hasan Miraz,Bangladesh,Spin
MG Bracewell,New Zealand,Spin
MJ Santner,New Zealand,Spin
MM Ali,England,Spin
Mohammad Hafeez,Pakistan,Spin
Mohammad Hasnain,Pakistan,Pace
Mohammad Nabi,Afghanistan,Spin
Mohammad Nawaz (3),Pakistan,Spin
Mohammad Saifuddin,Bangladesh,Pace
Mohammad Wasim,Pakistan,Pace
Mohammed Shami,India,Pace
Mohammed Siraj,India,Pace
Mosaddek Hossain,Bangladesh,Spin
MP Stoinis,Australia,Pace
MR Adair,Ireland,Pace
MR Marsh,Australia,Pace
Mujeeb Ur Rahman,Afghanistan,Spin
Mustafizur Rahman,Bangladesh,Pace
MW Parkinson,England,Spin
N Thushara,Sri Lanka,Pace
Naseem Shah,Pakistan,Pace
Nasum Ahmed,Bangladesh,Spin
