striker,team,type
A Lyth,Northern Superchargers,Batter
A Zampa,Welsh Fire,Bowler OS
AD Hales,Trent Rockets,Batter
AD Russell,Manchester Originals,Allrounder OS
AJ Hose,Northern Superchargers,Batter
AJ Turner,Manchester Originals,Allrounder OS
AL Davies,Southern Brave,Wicketkeeper
AM Rossington,London Spirit,Wicketkeeper
AU Rashid,Northern Superchargers,Bowler
BA Raine,Northern Superchargers,Bowler
BAC Howell,Birmingham Phoenix,Allrounder
BJ Dwarshuis,Birmingham Phoenix,Bowler OS
BL D'Oliveira,Birmingham Phoenix,Allrounder
BM Duckett,Welsh Fire,Batter
BR McDermott,London Spirit,Wicketkeeper OS
C Munro,Trent Rockets,Batter OS
CG Benjamin,Birmingham Phoenix,Wicketkeeper
CJ Jordan,Southern Brave,Bowler
CN Ackermann,Manchester Originals,Allrounder
CN Miles,Northern Superchargers,Bowler
CP Wood,London Spirit,Bowler
D Moriarty,Southern Brave,Bowler
D Pretorius,Welsh Fire,Allrounder OS
D Wiese,Northern Superchargers,Allrounder
DA Miller,Welsh Fire,Batter OS
DA Payne,Welsh Fire,Bowler
DJ Bell-Drummond,London Spirit,Batter
DJ Bravo,Northern Superchargers,Allrounder OS
DJ Malan,Trent Rockets,Batter
DJ Willey,Northern Superchargers,Allrounder
DR Briggs,Oval Invincibles,Bowler
DR Mousley,Birmingham Phoenix,Allrounder
DR Sams,Trent Rockets,Bowler OS
DW Lawrence,London Spirit,Batter
EJG Morgan,London Spirit,Batter
F du Plessis,Northern Superchargers,Batter OS
FJ Klaassen,Manchester Originals,Bowler
GHS Garton,Southern Brave,Allrounder
GJ Maxwell,London Spirit,Allrounder OS
GL van Buuren,Birmingham Phoenix,Allrounder
GLS Scrimshaw,Welsh Fire,Bowler
HC Brook,Northern Superchargers,Batter
HJH Brookes,Birmingham Phoenix,Bowler
HWR Cartwright,Oval Invincibles,Batter
IA Cockbain,Trent Rockets,Batter
IS Sodhi,Welsh Fire,Bowler OS
Imran Tahir,Birmingham Phoenix,Bowler OS
J Little,Manchester Originals,Bowler OS
JA Haynes,Oval Invincibles,Batter
JA Simpson,Northern Superchargers,Wicketkeeper
JA Thompson,London Spirit,Allrounder
JB Lintott,Southern Brave,Bowler
JC Buttler,Manchester Originals,Wicketkeeper
JE Root,Trent Rockets,Batter
JG Bethell,Welsh Fire,Batter
JJ Cobb,Welsh Fire,Allrounder
JJ Roy,Oval Invincibles,Batter
JK Fuller,Southern Brave,Allrounder
JL du Plooy,Welsh Fire,Batter
JM Clarke,Welsh Fire,Wicketkeeper
JM Cox,Oval Invincibles,Batter
JM Vince,Southern Brave,Batter
JP Inglis,London Spirit,Wicketkeeper OS
JT Ball,Welsh Fire,Bowler
KA Pollard,London Spirit,Allrounder OS
KW Richardson,Birmingham Phoenix,Bowler OS
L Gregory,Trent Rockets,Allrounder
L Wood,Trent Rockets,Bowler
LA Dawson,London Spirit,Allrounder
LJ Evans,Manchester Originals,Batter
LS Livingstone,Birmingham Phoenix,Allrounder
M Carter,Trent Rockets,Bowler
ME Milnes,Oval Invincibles,Bowler
MG Hogan,Southern Brave,Bowler
MJJ Critchley,Welsh Fire,Allrounder
MM Ali,Birmingham Phoenix,Allrounder
MP Stoinis,Southern Brave,Allrounder OS
MS Crane,London Spirit,Bowler
MS Pepper,Northern Superchargers,Wicketkeeper
MS Wade,Birmingham Phoenix,Wicketkeeper OS
MW Parkinson,Manchester Originals,Bowler
Miles Hammond,Birmingham Phoenix,Batter
Mohammad Hasnain,Oval Invincibles,Bowler OS
NA Sowter,Oval Invincibles,Bowler
NT Ellis,London Spirit,Bowler
Noor Ahmad,Welsh Fire,Bowler OS
OJ Pope,Welsh Fire,Batter
P Hatzoglou,Oval Invincibles,Bowler OS
PD Salt,Manchester Originals,Wicketkeeper
PI Walter,Manchester Originals,Batter
PR Stirling,Southern Brave,Batter OS
Q de Kock,Southern Brave,Wicketkeeper OS
RA Whiteley,Southern Brave,Batter
RE van der Merwe,Northern Superchargers,Allrounder
RF Higgins,Welsh Fire,Allrounder
RJ Gleeson,Manchester Originals,Bowler
RR Rossouw,Oval Invincibles,Batter OS
RS Bopara,London Spirit,Allrounder
Rehan Ahmed,Southern Brave,Bowler
S Baker,Southern Brave,Bowler
SA Abbott,Manchester Originals,Bowler OS
SG Budinger,Birmingham Phoenix,Batter
SM Curran,Oval Invincibles,Allrounder
SP Narine,Oval Invincibles,Allrounder OS
SR Hain,Welsh Fire,Batter
SR Patel,Trent Rockets,Allrounder
SW Billings,Oval Invincibles,Wicketkeeper
T Banton,Welsh Fire,Wicketkeeper
T Kohler-Cadmore,Trent Rockets,Wicketkeeper
T Sangha,Birmingham Phoenix,Bowler OS
T Stubbs,Manchester Originals,Batter OS
TA Lammonby,Manchester Originals,Allrounder
TG Helm,Birmingham Phoenix,Bowler
TH David,Southern Brave,Batter OS
TJ Moores,Trent Rockets,Wicketkeeper
TK Curran,Oval Invincibles,Allrounder
TS Mills,Southern Brave,Bowler
TW Hartley,Manchester Originals,Bowler
WCF Smeed,Birmingham Phoenix,Batter
WD Parnell,Northern Superchargers,Bowler OS
WG Jacks,Oval Invincibles,Batter
WL Madsen,Manchester Originals,Batter
Z Crawley,London Spirit,Batter
