,striker,team
0,A Ahmadhel,Bulgaria
1,A Amado,Israel
2,A Andrews,Switzerland
3,A Ashokan,Czech Republic
4,A Bagai,Canada
5,A Balbirnie,Ireland
6,A Bhadauria,Luxembourg
7,A Bhagwat,Hong Kong
8,A Bhargava,Singapore
9,A Bhattarai,Nepal
10,A Bishnoi,Malta
11,A Bohara,Nepal
12,A Bulow,Denmark
13,A Dananjaya,Sri Lanka
14,A Dizija,Serbia
15,A Djorovic,Serbia
16,A Dutt,Netherlands
17,A Ferguson,Argentina
18,A Flintoff,England
19,A Gasteratos,Greece
20,A Gavde,Cayman Islands
21,A Gbla,Sierra Leone
22,A Halbhavi,Luxembourg
23,A Husain,Argentina
24,A Johnmary,France
25,A Kansonkho,Malawi
26,A Karn,Nepal
27,A Khan,Denmark
28,A Kheterpal,Hungary
29,A Kirschbaum,Argentina
30,A Krishna,Singapore
31,A Maheshwari,Croatia
32,A Manepalli,Luxembourg
33,A Manousis,Greece
34,A Mansale,Vanuatu
35,A Martel,Guernsey
36,A McAuley,Isle of Man
37,A Mehmood,Hong Kong
38,A Mene-Ejegi,Serbia
39,A Morris,Cayman Islands
40,A Mutreja,Singapore
41,A Nanda,Luxembourg
42,A Nao,Papua New Guinea
43,A Nathwani,Austria
44,A Natubhai Ahir,Panama
45,A Ndlovu,Zimbabwe
46,A Nehra,India
47,A Nel,South Africa
48,A Nortje,South Africa
49,A Orfila,Gibraltar
50,A Otwani,Uganda
51,A Parima,Cook Islands
52,A Paul,Estonia
53,A Poulose,Oman
54,A Pusthay,Finland
55,A Randhawa,Austria
56,A Rangaswamy,Botswana
57,A Raza,Belgium
58,A Reyes,Gibraltar
59,A Sarma,Germany
60,A Saud,Nepal
61,A Shahzad,England
62,A Sharafu,United Arab Emirates
63,A Shreshta,Nigeria
64,A Shukla,Hong Kong
65,A Symonds,Australia
66,A Turkmen,Turkey
67,A Vala,Papua New Guinea
68,A Venkatesh,Sweden
69,A Zampa,Australia
70,AA Banner,Belize
71,AA Gajic,Serbia
72,AA Jasani,Tanzania
73,AA Navicha,Mozambique
74,AA Obanda,Kenya
75,AA Onikoyi,Nigeria
76,AAA Patel,Lesotho
77,AAhan Achar,Singapore
78,AB Agarkar,India
79,AB Barath,West Indies
80,AB Dinda,India
81,AB Kamara,Sierra Leone
82,AB Mengoumou,Cameroon
83,AB de Villiers,South Africa
84,AC Agar,Australia
85,AC Botha,Ireland
86,AC Douglas,Bermuda
87,AC Evans,Scotland
88,AC Gilchrist,Australia
89,AC Voges,Australia
90,ACF Stokes,Guernsey
91,ACL Richards,West Indies
92,AD Hales,England
93,AD Mascarenhas,England
94,AD Mathews,Sri Lanka
95,AD Poynter,Ireland
96,AD Russell,West Indies
97,ADL Stokoe,Isle of Man
98,ADS Fletcher,West Indies
99,AE Paraam,Singapore
100,AF Buurman,Netherlands
101,AF Ifill,Cayman Islands
102,AF Milne,New Zealand
103,AG Cremer,Zimbabwe
104,AG Prince,South Africa
105,AG Weligamage,Hungary
