striker,team,type
A Balbirnie,Ireland,
A Dananjaya,Sri Lanka,
A Ndlovu,Zimbabwe,
A Nortje,South Africa,
A Sharafu,United Arab Emirates,
A Zampa,Australia,Bowler
AC Agar,Australia,Bowler
AC Evans,Scotland,
AD Hales,England,
AD Mathews,Sri Lanka,
AD Russell,West Indies,
ADS Fletcher,West Indies,
AF Milne,New Zealand,
AJ Finch,Australia,Batter
AJ Hosein,West Indies,
AJ Turner,Australia,
AJ Tye,Australia,
AK Markram,South Africa,
AL Phehlukwayo,South Africa,
AM Fernando,Sri Lanka,
AR McBrine,Ireland,
AR Patel,India,
AS Joseph,West Indies,
AT Carey,Australia,
AT Nidamanuru,Netherlands,
AU Rashid,England,
AY Patel,New Zealand,
Aamer Jamal,Pakistan,
Aayan Afzal Khan,United Arab Emirates,
Afif Hossain,Bangladesh,
Afsar Zazai,Afghanistan,WK Batter
Ahmed Raza,United Arab Emirates,
Aminul Islam Biplob,Bangladesh,
Anamul Haque,Bangladesh,
Arshad Iqbal,Pakistan,
Arshdeep Singh,India,
Aryan Lakra,United Arab Emirates,
Asghar Stanikzai,Afghanistan,Batter
Asif Ali,Pakistan,
Avesh Khan,India,
Azam Khan,Pakistan,
Azmatullah Omarzai,Afghanistan,Bowler
B Evans,Zimbabwe,
B Fernando,Sri Lanka,
B Kumar,India,
B Mavuta,Zimbabwe,
B Muzarabani,Zimbabwe,
B White,Ireland,
BA King,West Indies,
BA Stokes,England,
BC Fortuin,South Africa,
BD Glover,Netherlands,
BE Hendricks,South Africa,
BFW de Leede,Netherlands,
BJ Dwarshuis,Australia,Bowler
BJ McCarthy,Ireland,
BKG Mendis,Sri Lanka,
BM Duckett,England,
BM Scholtz,Namibia,
BM Tickner,New Zealand,
BN Cooper,Netherlands,
BOP Fernando,Sri Lanka,
BR McDermott,Australia,
BRM Taylor,Zimbabwe,
BTJ Wheal,Scotland,
Babar Azam,Pakistan,
Basil Hameed,United Arab Emirates,
C Campher,Ireland,
C Floyd,Netherlands,
C Green,Australia,
C Karunaratne,Sri Lanka,
C Madande,Zimbabwe,
C Sakariya,India,
C de Grandhomme,New Zealand,
CA Young,Ireland,
CB Sole,Scotland,
CBRLS Kumara,Sri Lanka,
CD Wallace,Scotland,
CE McConchie,New Zealand,
CG Williams,Namibia,
CH Gayle,West Indies,
CJ Jordan,England,
CN Ackermann,Netherlands,
CN Greaves,Scotland,
CP Rizwan,United Arab Emirates,
CR Ervine,Zimbabwe,
CR Woakes,England,
CS MacLeod,Scotland,
CV Varun,India,
Chirag Suri,United Arab Emirates,
D Cleaver,New Zealand,
D Madushanka,Sri Lanka,
D Myers,Zimbabwe,
D Padikkal,India,
D Pretorius,South Africa,
D Wiese,Namibia,
D la Cock,Namibia,
DA Miller,South Africa,
DA Warner,Australia,
DAJ Bracewell,New Zealand,
DC Drakes,West Indies,
DC Thomas,West Indies,
DE Budge,Scotland,
DJ Bravo,West Indies,
DJ Hooda,India,
DJ Malan,England,
DJ Mitchell,New Zealand,
DJ Willey,England,
DL Chahar,India,
DM Bravo,West Indies,
DM de Silva,Sri Lanka,
DP Conway,New Zealand,
DR Sams,Australia,
DT Christian,Australia,
DT Tiripano,Zimbabwe,
Danish Aziz,Pakistan,
Darwish Rasooli,Afghanistan,Batter
E Lewis,West Indies,
EJG Morgan,England,
F Hand,Ireland,
FA Allen,West Indies,
FH Allen,New Zealand,
FH Edwards,West Indies,
FJ Klaassen,Netherlands,
Faheem Ashraf,Pakistan,
Fakhar Zaman,Pakistan,
Fareed Ahmad,Afghanistan,Bowler
GD Phillips,New Zealand,
GF Linde,South Africa,
GH Dockrell,Ireland,
GHS Garton,England,
GI Hume,Ireland,
GJ Delany,Ireland,
GJ Maxwell,Australia,
GJ Snyman,South Africa,
GT Main,Scotland,
Gulbadin Naib,Afghanistan,Allrounder
H Klaasen,South Africa,
HC Brook,England,
HE van der Dussen,South Africa,
HG Munsey,Scotland,
HH Pandya,India,
HM Nicholls,New Zealand,
HN Ya France,Namibia,
HR Walsh,West Indies,
HT Tector,Ireland,
HV Patel,India,
Haider Ali,Pakistan,
Hamza Tahir,Scotland,
Haris Rauf,Pakistan,
Hasan Ali,Pakistan,
Hasan Mahmud,Bangladesh,
Hashmatullah Shahidi,Afghanistan,Batter
Hazratullah,Afghanistan,Batter
Hussain Talat,Pakistan,
I Kaia,Zimbabwe,
I Udana,Sri Lanka,
IS Sodhi,New Zealand,
Ibrahim Zadran,Afghanistan,Batter
Iftikhar Ahmed,Pakistan,
Ihsanullah,Afghanistan,Batter
Imad Wasim,Pakistan,
Ishan Kishan,India,
J Charles,West Indies,
J Little,Ireland,
J Liyanage,Sri Lanka,
JA Duffy,New Zealand,
JA Richardson,Australia,
JC Archer,England,
JC Buttler,England,
JDF Vandersay,Sri Lanka,
JDS Neesham,New Zealand,
JH Davey,Scotland,
JJ Roy,England,
JJ Smit,Namibia,
JM Bairstow,England,
JM Vince,England,
JN Frylinck,Namibia,
JN Loftie-Eaton,Namibia,
JN Malan,South Africa,
JO Holder,West Indies,
JP Behrendorff,Australia,
JP Inglis,Australia,
JR Hazlewood,Australia,
JR Philippe,Australia,
JT Smuts,South Africa,
Junaid Siddique (2),United Arab Emirates,
K Birkenstock,Namibia,
K Mishara,Sri Lanka,
K Rabada,South Africa,
K Sinclair,West Indies,
KA Jamieson,New Zealand,
KA Maharaj,South Africa,
KA Pollard,West Indies,
KD Karthik,India,
KH Pandya,India,
KIC Asalanka,Sri Lanka,
KJ Coetzer,Scotland,
KJ O'Brien,Ireland,
KL Rahul,India,
KMA Paul,West Indies,
KNA Bandara,Sri Lanka,
KP Meiyappan,United Arab Emirates,
KR Mayers,West Indies,
KS Williamson,New Zealand,
KW Richardson,Australia,
Karim Janat,Afghanistan,Bowler
Kashif Daud,United Arab Emirates,
Khushdil Shah,Pakistan,
Kuldeep Yadav,India,
L Gregory,England,
L Ngidi,South Africa,
L Sipamla,South Africa,
L Tucker,Ireland,
LA Dawson,England,
LB Williams,South Africa,
LD Chandimal,Sri Lanka,
LD Madushanka,Sri Lanka,
LH Ferguson,New Zealand,
LM Jongwe,Zimbabwe,
LMP Simmons,West Indies,
LS Livingstone,England,
LV van Beek,Netherlands,
Liton Das,Bangladesh,
M Bhanuka,Sri Lanka,
M Jansen,South Africa,
M Labuschagne,Australia,
M Pathirana,Sri Lanka,
M Shumba,Zimbabwe,
M Theekshana,Sri Lanka,
M van Lingen,Namibia,
MA Jones,Scotland,
MA Leask,Scotland,
MA Starc,Australia,
MA Wood,England,
MC Henriques,Australia,
MD Gunathilaka,Sri Lanka,
MD Shanaka,Sri Lanka,
MDKJ Perera,Sri Lanka,
MG Bracewell,New Zealand,
MG Erasmus,Namibia,
MH Cross,Scotland,
MJ Guptill,New Zealand,
MJ Santner,New Zealand,
MJ Swepson,Australia,
MM Ali,England,
MP O'Dowd,Netherlands,
MP Stoinis,Australia,
MR Adair,Ireland,
MR Marsh,Australia,
MRJ Watt,Scotland,
MS Chapman,New Zealand,
MS Wade,Australia,
MW Parkinson,England,
Mahedi Hasan,Bangladesh,
Mahmudullah,Bangladesh,
Mehedi Hasan Miraz,Bangladesh,
Mohammad Boota,United Arab Emirates,
Mohammad Hafeez,Pakistan,
Mohammad Haris,Pakistan,
Mohammad Hasnain,Pakistan,
Mohammad Mithun,Bangladesh,
Mohammad Nabi,Afghanistan,Allrounder
Mohammad Naim,Bangladesh,
Mohammad Nawaz (3),Pakistan,
Mohammad Rizwan,Pakistan,
Mohammad Saifuddin,Bangladesh,
Mohammad Shahzad,Afghanistan,WK Batter
Mohammad Wasim,Pakistan,
Mohammed Siraj,India,
Mosaddek Hossain,Bangladesh,
Muhammad Usman,United Arab Emirates,
Mujeeb Ur Rahman,Afghanistan,Bowler
Munim Shahriar,Bangladesh,
Mushfiqur Rahim,Bangladesh,
Mustafizur Rahman,Bangladesh,
N Dickwella,Sri Lanka,
N Pooran,West Indies,
N Rana,India,
N Thushara,Sri Lanka,
NA Rock,Ireland,
NA Saini,India,
NLTC Perera,Sri Lanka,
NT Ellis,Australia,
Najibullah Zadran,Afghanistan,Batter
Naseem Shah,Pakistan,
Nasum Ahmed,Bangladesh,
Naveen-ul-Haq,Afghanistan,Bowler
Nazmul Hossain Shanto,Bangladesh,
Nijat Masood,Afghanistan,Bowler
Noor Ahmad,Afghanistan,Bowler
Nurul Hasan,Bangladesh,
O Thomas,West Indies,
OC McCoy,West Indies,
OF Smith,West Indies,
OJ Hairs,Scotland,
OP Stone,England,
P Jayawickrama,Sri Lanka,
P Nissanka,Sri Lanka,
PA van Meekeren,Netherlands,
PADLR Sandakan,Sri Lanka,
PBB Rajapaksa,Sri Lanka,
PD Salt,England,
PHKD Mendis,Sri Lanka,
PJ Cummins,Australia,
PJ van Biljon,South Africa,
PM Liyanagamage,Sri Lanka,
PM Seelaar,Netherlands,
PP Shaw,India,
PR Stirling,Ireland,
PVD Chameera,Sri Lanka,
PWA Mulder,South Africa,
PWH de Silva,Sri Lanka,
Parvez Hossain Emon,Bangladesh,
Q de Kock,South Africa,
Qais Ahmad,Afghanistan,Bowler
R Ashwin,India,
R Klein,Netherlands,
R Mutumbami,Zimbabwe,
R Ngarava,Zimbabwe,
R Powell,West Indies,
R Rampaul,West Indies,
R Ravindra,New Zealand,
R Shepherd,West Indies,
R Trumpelmann,Namibia,
RA Jadeja,India,
RA Reifer,West Indies,
RD Berrington,Scotland,
RD Chahar,India,
RD Gaikwad,India,
RE van der Merwe,Netherlands,
RG Sharma,India,
RJ Gleeson,England,
RJW Topley,England,
RL Chase,West Indies,
RN ten Doeschate,Netherlands,
RP Burl,Zimbabwe,
RR Hendricks,South Africa,
RR Pant,India,
RR Rossouw,South Africa,
RTM Mendis,Sri Lanka,
RW Chakabva,Zimbabwe,
Rahmanullah Gurbaz,Afghanistan,WK Batter
Rashid Khan,Afghanistan,Allrounder
Ravi Bishnoi,India,
Rohan Mustafa,United Arab Emirates,
Rubel Hossain,Bangladesh,
S Dhawan,India,
S Mahmood,England,
S Samarawickrama,Sri Lanka,
SA Abbott,Australia,
SA Edwards,Netherlands,
SA Yadav,India,
SC Getkate,Ireland,
SC Williams,Zimbabwe,
SD Hope,West Indies,
SJ Baard,Namibia,
SJ Myburgh,Netherlands,
SM Curran,England,
SM Sharif,Scotland,
SN Thakur,India,
SO Hetmyer,West Indies,
SPD Smith,Australia,
SS Cottrell,West Indies,
SS Iyer,India,
SSB Magala,South Africa,
SSJ Brooks,West Indies,
SV Samson,India,
SW Billings,England,
Sabbir Rahman,Bangladesh,
Saif Hassan,Bangladesh,
Sarfraz Ahmed,Pakistan,
Shadab Khan,Pakistan,
Shaheen Shah Afridi,Pakistan,
Shahnawaz Dhani,Pakistan,
Shakib Al Hasan,Bangladesh,
Shamim Hossain,Bangladesh,
Shan Masood,Pakistan,
Sharafuddin Ashraf,Afghanistan,Bowler
Shariz Ahmad,Netherlands,
Sharjeel Khan,Pakistan,
Shoaib Malik,Pakistan,
