,name,PP0,PP1,PP2,PP3,PP4,PP5,PP6,PPE,PPW,MO0,MO1,MO2,MO3,MO4,MO5,MO6,MOE,MOW,DO0,DO1,DO2,DO3,DO4,DO5,DO6,DOE,DOW,team,type
0,A Dananjaya,411 - 521,522 - 614,615 - 621,-,622 - 644,-,645 - 653,654 - 655,656 - 666,411 - 455,456 - 612,613 - 626,-,631 - 635,-,636 - 661,662 - 665,666 - 666,411 - 415,416 - 526,531 - 546,-,551 - 556,-,561 - 646,651 - 656,661 - 666,Sri Lanka,Spin
1,A Ndlovu,411 - 552,553 - 564,565 - 615,-,616 - 654,-,655 - 666,-,-,411 - 525,526 - 631,632 - 635,-,636 - 654,-,655 - 662,663 - 666,-,411 - 523,524 - 642,-,-,-,-,-,-,643 - 666,Zimbabwe,Spin
2,A Nortje,411 - 525,526 - 566,611 - 616,-,621 - 641,642 - 642,643 - 651,652 - 661,662 - 666,411 - 544,545 - 625,626 - 632,-,633 - 644,-,645 - 652,653 - 662,663 - 666,411 - 456,461 - 562,563 - 611,-,612 - 625,-,626 - 634,635 - 644,645 - 666,South Africa,Pace
3,A Zampa,411 - 432,433 - 552,553 - 555,-,556 - 625,-,626 - 641,642 - 652,653 - 666,411 - 462,463 - 624,625 - 633,634 - 634,635 - 643,-,644 - 654,655 - 661,662 - 666,411 - 525,526 - 625,626 - 634,-,635 - 646,-,-,651 - 654,655 - 666,Australia,Spin
4,AC Agar,411 - 562,563 - 636,641 - 644,-,645 - 652,-,653 - 656,661 - 663,664 - 666,411 - 512,513 - 631,632 - 642,643 - 643,644 - 651,-,652 - 655,656 - 662,663 - 666,-,411 - 546,551 - 611,-,612 - 622,-,623 - 633,634 - 644,645 - 666,Australia,Spin
5,AC Evans,411 - 521,522 - 564,565 - 612,-,613 - 642,-,643 - 646,651 - 664,665 - 666,411 - 455,456 - 564,565 - 615,-,616 - 635,-,636 - 646,651 - 661,662 - 666,411 - 425,426 - 516,521 - 531,-,532 - 561,-,562 - 641,642 - 663,664 - 666,Scotland,Pace
6,AD Mathews,411 - 453,454 - 525,-,-,-,-,526 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Pace
7,AD Russell,411 - 431,432 - 545,546 - 553,554 - 555,556 - 624,-,625 - 645,646 - 656,661 - 666,411 - 445,446 - 562,563 - 621,-,622 - 644,-,645 - 653,654 - 655,656 - 666,411 - 434,435 - 534,535 - 566,-,611 - 641,-,642 - 651,652 - 663,664 - 666,West Indies,Pace
8,AF Milne,411 - 545,546 - 621,622 - 624,-,625 - 652,-,653 - 662,663 - 664,665 - 666,411 - 464,465 - 563,564 - 615,616 - 616,621 - 641,-,642 - 644,645 - 656,661 - 666,411 - 456,461 - 612,613 - 622,-,623 - 646,-,651 - 656,661 - 664,665 - 666,New Zealand,Pace
9,AJ Hosein,411 - 513,514 - 614,615 - 624,-,625 - 644,-,645 - 652,653 - 655,656 - 666,411 - 465,466 - 625,626 - 635,-,636 - 645,-,646 - 654,655 - 662,663 - 666,411 - 414,415 - 611,612 - 636,-,-,-,-,641 - 666,-,West Indies,Spin
