,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
0,A Badoni,Lucknow Super Giants,11,130,123.85,23.0,411 - 614,615 - 633,-,-,634 - 651,652 - 666,-,-,-,411 - 535,536 - 541,542 - 543,544 - 563,564 - 655,-,656 - 666,-,-,411 - 424,425 - 441,442 - 454,455 - 512,513 - 624,625 - 645,646 - 666,-,-,411 - 614,615 - 633,-,-,634 - 651,652 - 666,-,-,-,411 - 456,461 - 514,-,-,515 - 652,653 - 661,662 - 666,-,-,411 - 552,-,553 - 563,564 - 613,614 - 655,656 - 666,-,-,-,Batter
1,A Manohar,Gujarat Titans,7,75,144.0,18.0,411 - 546,-,-,551 - 642,643 - 666,-,-,-,-,411 - 432,-,-,433 - 523,524 - 654,-,655 - 666,-,-,411 - 442,443 - 464,465 - 512,513 - 545,546 - 644,645 - 662,663 - 666,-,-,411 - 462,463 - 533,-,-,534 - 666,-,-,-,-,411 - 512,-,513 - 522,523 - 543,544 - 666,-,-,-,-,411 - 434,435 - 513,514 - 552,-,553 - 631,632 - 666,-,-,-,Allrounder
2,A Nortje,Delhi Capitals,1,6,16.67,-,411 - 632,-,-,-,633 - 651,652 - 666,-,-,-,411 - 632,-,-,-,633 - 651,652 - 666,-,-,-,411 - 632,-,-,-,633 - 651,652 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
3,A Tomar,Kolkata Knight Riders,1,8,50.0,4.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Batter
4,AD Russell,Kolkata Knight Riders,12,189,174.6,36.67,411 - 536,541 - 545,546 - 612,613 - 625,626 - 652,653 - 662,663 - 666,-,-,411 - 536,541 - 545,546 - 612,613 - 625,626 - 652,653 - 662,663 - 666,-,-,411 - 534,535 - 542,543 - 552,553 - 612,613 - 644,645 - 654,655 - 666,-,-,411 - 542,543 - 545,546 - 614,-,615 - 646,651 - 655,656 - 666,-,-,411 - 542,543 - 545,546 - 614,-,615 - 646,651 - 655,656 - 666,-,-,411 - 434,-,435 - 536,541 - 552,553 - 654,655 - 666,-,-,-,Allrounder
5,AJ Finch,Kolkata Knight Riders,5,61,140.98,17.2,411 - 456,461 - 516,521 - 522,523 - 536,541 - 625,626 - 645,646 - 666,-,-,-,411 - 424,425 - 442,443 - 531,532 - 563,564 - 652,653 - 666,-,-,-,411 - 424,425 - 442,443 - 531,532 - 563,564 - 652,653 - 666,-,-,411 - 462,-,463 - 564,-,565 - 666,-,-,-,-,-,-,-,411 - 536,541 - 566,611 - 666,-,-,-,-,-,-,411 - 536,541 - 566,611 - 666,-,-,-,Batter
6,AK Markram,Sunrisers Hyderabad,12,273,139.56,47.62,411 - 663,-,-,-,664 - 665,-,666 - 666,-,-,411 - 442,443 - 445,446 - 454,455 - 516,521 - 643,644 - 651,652 - 666,-,-,-,411 - 416,421 - 443,444 - 512,513 - 643,-,644 - 666,-,-,411 - 515,-,516 - 536,541 - 562,563 - 666,-,-,-,-,411 - 446,451 - 454,455 - 466,511 - 516,521 - 662,663 - 663,664 - 666,-,-,411 - 413,-,414 - 443,444 - 512,513 - 666,-,-,-,-,Batter
7,AM Rahane,Kolkata Knight Riders,7,128,103.91,19.0,411 - 532,533 - 541,542 - 544,545 - 562,563 - 645,646 - 661,662 - 666,-,-,-,411 - 425,-,426 - 463,464 - 666,-,-,-,-,-,411 - 425,-,426 - 463,464 - 666,-,-,-,-,411 - 525,-,-,526 - 561,562 - 666,-,-,-,-,411 - 511,512 - 524,525 - 532,533 - 545,546 - 662,-,663 - 666,-,-,411 - 511,512 - 524,525 - 532,533 - 545,546 - 662,-,663 - 666,-,-,Batter
8,AR Patel,Delhi Capitals,10,120,151.67,60.67,411 - 512,513 - 522,523 - 525,526 - 546,551 - 656,-,661 - 666,-,-,411 - 512,513 - 522,523 - 525,526 - 546,551 - 656,-,661 - 666,-,-,411 - 424,-,425 - 451,452 - 466,511 - 625,626 - 635,636 - 666,-,-,411 - 561,562 - 565,566 - 613,-,614 - 654,-,655 - 666,-,-,411 - 561,562 - 565,566 - 613,-,614 - 654,-,655 - 666,-,-,411 - 565,-,-,566 - 625,626 - 645,646 - 666,-,-,-,Allrounder
9,AS Joseph,Gujarat Titans,3,7,71.43,5.0,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,411 - 423,424 - 451,-,-,452 - 666,-,-,-,-,Bowler
10,AS Roy,Kolkata Knight Riders,1,2,0.0,0.0,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,Allrounder
11,AT Rayudu,Chennai Super Kings,11,223,122.42,27.3,411 - 643,644 - 644,645 - 646,651 - 653,654 - 664,665 - 665,666 - 666,-,-,411 - 533,534 - 536,541 - 544,545 - 566,611 - 663,664 - 666,-,-,-,411 - 516,521 - 535,536 - 563,564 - 622,623 - 656,661 - 666,-,-,-,411 - 636,-,-,641 - 653,654 - 666,-,-,-,-,411 - 462,463 - 466,511 - 521,522 - 534,535 - 655,656 - 663,664 - 666,-,-,-,411 - 444,445 - 522,-,523 - 555,556 - 666,-,-,-,Batter
12,Abdul Samad,Sunrisers Hyderabad,2,7,57.14,2.0,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Batter
13,Abhishek Sharma,Sunrisers Hyderabad,14,319,133.23,30.36,411 - 524,525 - 531,532 - 532,533 - 565,566 - 652,653 - 656,661 - 665,666 - 666,-,411 - 441,442 - 444,445 - 454,455 - 511,512 - 641,642 - 651,652 - 666,-,-,-,411 - 521,-,-,522 - 632,633 - 666,-,-,-,411 - 445,446 - 461,462 - 513,514 - 544,545 - 643,-,644 - 666,-,-,411 - 424,425 - 436,441 - 461,462 - 513,514 - 643,644 - 645,646 - 666,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,Allrounder
14,Akash Deep,Royal Challengers Bangalore,1,2,0.0,0.0,411 - 622,623 - 666,-,-,-,-,-,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,Allrounder
15,Aman Hakim Khan,Kolkata Knight Riders,1,3,166.67,5.0,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
16,Anmolpreet Singh,Mumbai Indians,2,13,100.0,6.5,411 - 416,421 - 514,-,515 - 612,613 - 666,-,-,-,-,411 - 441,442 - 462,-,-,463 - 625,-,626 - 666,-,-,411 - 441,442 - 462,-,-,463 - 625,-,626 - 666,-,-,411 - 416,421 - 514,-,515 - 612,613 - 666,-,-,-,-,411 - 441,442 - 462,-,-,463 - 625,-,626 - 666,-,-,411 - 441,442 - 462,-,-,463 - 625,-,626 - 666,-,-,Batter
17,Anuj Rawat,Royal Challengers Bangalore,8,118,109.32,18.43,411 - 536,541 - 546,551 - 555,556 - 614,615 - 643,644 - 656,661 - 664,665 - 666,-,-,411 - 421,422 - 432,433 - 443,444 - 666,-,-,-,-,411 - 462,-,463 - 543,-,544 - 625,626 - 666,-,-,-,411 - 621,622 - 624,-,625 - 631,632 - 666,-,-,-,-,411 - 421,422 - 435,436 - 453,454 - 511,512 - 616,621 - 652,653 - 666,-,-,411 - 462,-,463 - 543,-,544 - 625,626 - 666,-,-,-,WK Batter
18,Arshdeep Singh,Punjab Kings,6,29,72.41,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 624,625 - 634,-,635 - 642,643 - 655,656 - 661,662 - 663,664 - 666,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
19,Avesh Khan,Lucknow Super Giants,4,13,169.23,22.0,411 - 451,452 - 535,536 - 666,-,-,-,-,-,-,411 - 451,452 - 535,536 - 666,-,-,-,-,-,-,411 - 632,-,-,-,633 - 666,-,-,-,-,411 - 451,452 - 535,536 - 666,-,-,-,-,-,-,411 - 451,452 - 535,536 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,Bowler
20,B Indrajith,Kolkata Knight Riders,3,30,70.0,7.0,411 - 554,555 - 565,-,566 - 616,621 - 652,653 - 655,656 - 666,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,Batter
21,B Kumar,Sunrisers Hyderabad,6,25,96.0,12.0,411 - 522,523 - 534,-,535 - 546,551 - 646,651 - 666,-,-,-,411 - 522,523 - 534,-,535 - 546,551 - 646,651 - 666,-,-,-,411 - 522,523 - 534,-,535 - 546,551 - 646,651 - 666,-,-,-,411 - 434,-,-,435 - 513,514 - 666,-,-,-,-,411 - 434,-,-,435 - 513,514 - 666,-,-,-,-,411 - 434,-,-,435 - 513,514 - 666,-,-,-,-,Bowler
22,B Sai Sudharsan,Gujarat Titans,5,113,124.78,35.25,411 - 453,454 - 462,-,463 - 533,534 - 644,645 - 661,662 - 666,-,-,411 - 451,-,-,452 - 513,514 - 644,645 - 663,664 - 666,-,-,411 - 432,433 - 442,443 - 463,464 - 513,514 - 615,616 - 635,636 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 424,425 - 435,436 - 443,444 - 462,463 - 644,-,645 - 666,-,-,411 - 432,433 - 442,443 - 463,464 - 513,514 - 615,616 - 635,636 - 666,-,-,Batter
23,CJ Jordan,Chennai Super Kings,2,8,137.5,11.0,-,-,-,-,-,411 - 453,454 - 666,-,-,-,-,-,-,-,411 - 453,454 - 666,-,-,-,-,-,-,-,411 - 453,454 - 666,-,-,411 - 434,435 - 513,-,-,514 - 552,-,553 - 666,-,-,411 - 434,435 - 513,-,-,514 - 552,-,553 - 666,-,-,411 - 434,435 - 513,-,-,514 - 552,-,553 - 666,-,-,Bowler
24,CV Varun,Kolkata Knight Riders,3,18,66.67,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
25,D Brevis,Mumbai Indians,7,113,142.48,23.0,411 - 534,535 - 543,544 - 552,553 - 631,632 - 661,662 - 663,664 - 666,-,-,411 - 551,552 - 565,566 - 612,613 - 623,624 - 663,664 - 666,-,-,-,411 - 551,552 - 565,566 - 612,613 - 623,624 - 663,664 - 666,-,-,-,411 - 444,-,-,445 - 513,514 - 611,612 - 641,642 - 666,-,-,411 - 514,515 - 523,524 - 553,554 - 561,562 - 664,-,665 - 666,-,-,411 - 514,515 - 523,524 - 553,554 - 561,562 - 664,-,665 - 666,-,-,Allrounder
26,D Padikkal,Rajasthan Royals,17,305,122.95,22.06,411 - 532,533 - 542,543 - 545,546 - 615,616 - 642,643 - 656,661 - 666,-,-,411 - 541,542 - 543,544 - 546,551 - 611,612 - 655,656 - 664,665 - 666,-,-,411 - 464,465 - 531,-,532 - 554,555 - 655,656 - 666,-,-,-,411 - 543,544 - 546,-,551 - 556,561 - 656,661 - 663,664 - 666,-,-,411 - 435,436 - 446,451 - 465,466 - 524,525 - 652,653 - 656,661 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,Batter
