,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
0,A Balbirnie,Ireland,31,473,113.74,16.81,411 - 514,515 - 531,532 - 536,541 - 564,565 - 652,653 - 661,662 - 666,-,-,411 - 464,465 - 511,512 - 522,523 - 544,545 - 655,-,656 - 666,-,-,411 - 516,521 - 535,-,-,536 - 651,-,652 - 666,-,-,411 - 611,612 - 613,614 - 615,616 - 634,635 - 664,-,665 - 666,-,-,411 - 516,521 - 526,531 - 532,533 - 542,543 - 651,652 - 654,655 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,Batter c
1,A Dananjaya,Sri Lanka,3,14,85.71,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,411 - 524,-,-,-,525 - 631,632 - 651,652 - 661,662 - 666,-,
2,A Ndlovu,Zimbabwe,2,28,82.14,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 546,-,-,551 - 564,565 - 642,643 - 656,661 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
3,A Nortje,South Africa,7,21,42.86,3.0,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 542,543 - 562,-,-,563 - 641,642 - 656,661 - 666,-,-,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,Bowler
4,A Sharafu,United Arab Emirates,1,4,100.0,4.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,411 - 466,-,-,511 - 566,-,611 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,411 - 466,-,-,511 - 566,-,611 - 666,-,-,Batter
5,A Zampa,Australia,7,28,85.71,6.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 521,522 - 543,-,544 - 552,553 - 644,645 - 661,662 - 666,-,-,411 - 411,412 - 441,-,442 - 511,512 - 541,542 - 611,612 - 666,-,-,411 - 411,412 - 441,-,442 - 511,512 - 541,542 - 611,612 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
6,AC Agar,Australia,15,140,92.86,10.0,411 - 525,-,-,526 - 535,536 - 563,564 - 641,642 - 666,-,-,411 - 513,514 - 533,-,534 - 543,544 - 646,651 - 663,664 - 666,-,-,411 - 463,464 - 526,531 - 544,545 - 562,563 - 643,644 - 661,662 - 666,-,-,411 - 534,535 - 544,545 - 554,555 - 564,565 - 666,-,-,-,-,411 - 516,521 - 531,532 - 534,535 - 542,543 - 652,653 - 661,662 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
7,AC Evans,Scotland,3,7,114.29,2.67,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 414,415 - 513,-,514 - 542,-,543 - 611,612 - 666,-,-,411 - 414,415 - 513,-,514 - 542,-,543 - 611,612 - 666,-,-,411 - 414,415 - 513,-,514 - 542,-,543 - 611,612 - 666,-,-,
8,AD Hales,England,9,151,144.37,24.22,411 - 514,515 - 525,526 - 533,534 - 614,615 - 655,656 - 665,666 - 666,-,-,411 - 436,441 - 443,444 - 453,454 - 545,546 - 641,642 - 663,664 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,411 - 441,442 - 464,-,465 - 515,516 - 616,-,621 - 654,655 - 666,-,411 - 412,-,-,413 - 422,423 - 656,-,661 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,Batter
9,AD Mathews,Sri Lanka,3,32,90.62,9.67,411 - 421,422 - 452,-,-,453 - 645,646 - 655,656 - 666,-,-,411 - 421,422 - 452,-,-,453 - 645,646 - 655,656 - 666,-,-,411 - 421,422 - 452,-,-,453 - 645,646 - 655,656 - 666,-,-,411 - 434,-,-,435 - 446,451 - 641,-,642 - 666,-,-,411 - 434,-,-,435 - 446,451 - 641,-,642 - 666,-,-,411 - 434,-,-,435 - 446,451 - 641,-,642 - 666,-,-,
